State Name,State Code,SDPC Member (Yes/No),Primary State Student Data Privacy Laws (with statute numbers),"Federal Laws (FERPA, PPRA, COPPA)",State Education Agency Name,State Data Privacy Contact Email,State Data Privacy Contact Phone,"Required State Roles (Data Manager, Security Officer, Records Officer - with statute references)",Key Compliance Requirements,State DOE Privacy Website URL,DPA Template Available (Yes/No),Notes on AI Governance Policies,Source
Hawaii,HI,Yes,SB 2607 (HI REV ST § 302A-500).,"FERPA, COPPA.",Hawaii Department of Education,Not in source,Not in source,Institutional Analyst.,Centralized review process for software; unified helpdesk for tool requests; transition to National Data Privacy Agreement (NDPA).,Not in source,Yes,Curriculum leaders engaged with safe classroom AI use as part of the privacy review process.,"2, 28"
Idaho,ID,Not in source,SB 1372 (ID ST § 33-133).,FERPA.,State Board of Education,Not in source,Not in source,Not in source,Create student data system; public privacy policies; develop security and destruction plans; prohibit biometric collection.,Not in source,Not in source,Not in source,28
Illinois,IL,Not in source,"SOPIPA (105 ILCS 85/1 et seq. - Amended by SB 1796); ISSRA (Illinois School Student Records Act); HB 4762 (AI Replicas - Effective Aug 9, 2024); HB 3851 (Cyberbullying with AI - To Governor/Enacted); HB 1859 (Community College AI Prohibition - To Governor/Enacted); HB 1806 (Wellness and Oversight for Psychological Resources Act - To Governor/Enacted); SB 1920 (Statewide AI Guidance Mandate); HB 3773 (Human Rights Act Amendments - Algorithmic Transparency in Employment); HB 3567 (Meaningful Human Review of AI Act - Pending)",FERPA.,Board of Higher Education,"Task forces and agency oversight (SB 1920 requires State Board of Education to develop statewide AI guidance); Generative AI Task Force; No statutorily mandated individual roles like ""Student Data Manager"" as in Utah",Not in source,Not in source,Student Online Personal Protection Act (SOPPA); data sharing agreements required for PII.,Not in source,Not in source,Not in source,28
Indiana,IN,Not in source,Not in source,Not in source,Department of Education,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,"H 1296 (Failed) proposed guidelines, model AI policy, and inventory of AI platforms.",32
Iowa,IA,Not in source,HF 2354 (IA CODE § 279.71).,Not in source,Not in source,Not in source,Not in source,Not in source,"Prohibits operators from targeted advertising, profiling, or selling student information.",Not in source,Not in source,Not in source,28
Kansas,KS,Not in source,SB 367 (KS ST § 72-6312); HB 2008; HB 2209.,Not in source,State Board of Regents,Not in source,Not in source,Not in source,SOPPA; prohibits targeted advertising and biometric collection; mandatory breach notification; annual reports to governor.,Not in source,Not in source,Not in source,28
Kentucky,KY,Not in source,Ky. Rev. Stat. Ann. §§ 367.3611 et seq.; HB 232 (KY REV ST § 365.734).,FERPA.,Not in source,Not in source,Not in source,Not in source,Mandatory breach notification; cloud services prohibited from commercial use of data; requires AI disclosure in public decision-making.,Not in source,Not in source,2025 Senate bill passed to regulate state government's use of AI.,"28, 31"
Louisiana,LA,Not in source,Louisiana Student Privacy Law R.S. 17:3914; HB 718; HB 1076; App Store Accountability Act.,Not in source,Louisiana Department of Education (LDOE),Not in source,Not in source,Local school superintendents direct audits (HB 1076).,"Prohibits requesting social media logins; 10-day records request limit; $10,000 fine for violations; cyclical four-component policy approach.",Not in source,Not in source,Uses four-tier AI integration system (AI-Empowered to Prohibited) aligned with SAMR model; requires app store age assurance.,"26, 28, 33"
Maine,ME,Yes,Not in source,"FERPA, COPPA.",Maine Department of Education,Not in source,Not in source,Director of Education Data; Tech Infrastructure Specialist; Data Quality Trainer.,SEA acts as state agent for SDPC; provides cybersecurity guidance aligned with NIST/ISO.,Not in source,Yes,LD 1727 (chatbots legislation); state team focuses on AI and digital equity collaboration through SDPC.,"2, 36"
Maryland,MD,Not in source,"Student Data Privacy Act of 2015 (HB 298 - Md. Code Ann., Educ. § 4-131); HB 1297/SB 0979 (Education - AI); HB 568 (Data Privacy Best Practices - Md. Code Ann., Educ. § 7-2101); SB 1165 (Maryland Longitudinal Data System - Md. Code Ann., Educ. § 24-702); 2022 Accessible Digital Tools Legislation; HB 129 (Artificial Intelligence Subcabinet); HB 1297 (AI Oversight Employee - Local Level)","FERPA, PPRA, COPPA.",Maryland State Department of Education (MSDE),AI Oversight Employee (Local Level - HB 1297); Artificial Intelligence Subcabinet (Governor's Executive Council - HB 129); Maryland Department of Information Technology (DIT) - collaborates with MSDE on data governance and AI security standards,Not in source,AI Oversight Employee (HB 1297/SB 0979).,Annual AI system inventories; impact assessments for AI systems; public availability of inventories; MLDS links data for 20 years.,Not in source,Not in source,"HB 1297/SB 0979 effective July 2024; requires development of AI guidelines, standards, and best practices for county boards.","28, 37"
Massachusetts,MA,Not in source,"H 614 (AI Policies in Schools - Pending for 2025 legislative session); Active DESE guidelines (""Massachusetts Guidance for Artificial Intelligence in K-12 Education"" - 2025-2026 school year); Voluntary state guidance framework (not codified with specific statute numbers like other states); Pending comprehensive data privacy act",FERPA.,Massachusetts Dept. of Elementary and Secondary Education (DESE),"District Operations Leadership (cross-departmental oversight in human resources, procurement, and finance); DESE AI Task Force (developed state AI guidance); Office of Educational Technology (EdTech) within DESE - issued guidance for 2025-2026",Not in source,Not in source,Districts urged to establish AI disclosure expectations; minimize use of AI detection tools.,https://www.doe.mass.edu/edtech/ai/default.html,Not in source,"Released ""Massachusetts Guidance for AI in K-12""; emphasizes academic integrity and AI literacy.","56, 57"
Michigan,MI,Not in source,"Student Online Personal Protection Act (SOPPA) / SB 510 (Mich. Comp. Laws § 388.1291 - § 388.1295 - Enacted 2016); Protection of Pupil Privacy / S 33 (Mich. Comp. Laws § 380.1136 - Enacted 2016); Pending AI Legislation (2025 Session): H 4668 (AI Developer Requirements), H 4667 (Prohibit AI for Crimes), H 4537 (Prohibit AI for Claims Decisions)","FERPA, COPPA.",Michigan Department of Education (MDE),Michigan Department of Education (MDE) - vendor contracts/privacy oversight; Wayne RESA (Regional Educational Service Agency) - AI guidance development and state-level leadership,Not in source,Not in source,"Evaluation systems must include growth data; performance is ""majority factor"" in RIF; seniority cannot be considered.",Not in source,Not in source,Prohibits bargaining over evaluations; endorsed Michigan Virtual's AI Integration Framework (3-stage maturity model).,"26, 52"
Mississippi,MS,Yes,AI Regulation Task Force (SB 2426 - enacted for oversight); Note: Mississippi lacks comprehensive SOPIPA-like student data privacy legislation; HB 768 / SB 2796 (ELVIS Act - Failed in 2025 session),"FERPA, COPPA.",Mississippi Department of Education,Director of IT Security and Data Privacy: Jason Hageman (leads state privacy efforts; focuses on building trust with districts and positioning SEA as partner); Office of Technology and Strategic Services,Not in source,Director of IT Security and Data Privacy.,Privacy/governance built into SIS design; use of simplified National Data Privacy Agreement (NDPA).,Not in source,Yes,Not in source,2
Minnesota,MN,,,,,,,,,,,,
Missouri,MO,,,,,,,,,,,,
Montana,MT,Not in source,"Montana Pupil Online Personal Information Protection Act (HB 745 - Mont. Code Ann. § 20-7-1325 - Enacted 2019); Montana Government AI Use Law (HB 178 - Enacted 2024 - Limits AI use by government entities); Property Right in Use of Names, Voices, and Likenesses (HB 513 - MCA Title 30, Chapter 14, Section 1 - Effective Jan 1, 2026)","FERPA, COPPA.",Montana Office of Public Instruction (OPI),Montana Office of Public Instruction (OPI) manages education oversight; HB 178 requires disclosure for AI-generated material and human review for decisions with legal effects,Not in source,Constitutional Players framework (OPI/LEAs).,Mandatory compliance with state laws; biannual AI guideline review; government AI decisions must be human-reviewed (HB 178).,Not in source,Not in source,Emphasizes Indigenous data sovereignty; AI tools must not alter/remix tribally authored materials; Right to Compute Act (SB 212).,"26, 34"
Nebraska	NE,,,,,,,,,,,,,
Nevada,NV,No,Office of Information Technology,SB 463 (NRS 386.650),"Cameron Carey (Director, Information Technology)",cameron.carey@doe.nv.gov,Information Security and Privacy Policy (2015),"Vendor disclosure, security plans, PII restrictions",Prohibits targeted advertising and selling student data,https://doe.nv.gov/offices/office-of-information-technology/student-data-privacy,Not in source,"Nevada AI Alliance (2025); STELLAR framework - prohibits AI surveillance, ensures AI complements educators",26
New Hampshire	NH,,NH Department of Education	HB 1612 (NH RSA 189:65-68)	NH Learning Initiative	Not in source	Minimum Standards for Privacy and Security (2018)	LEA privacy governance plans; vendor contract requirements	Prohibits transfer of sensitive data to for-profit entities without consent	https://www.education.nh.gov/who-we-are/data-governance	Not in source	NH Learning Initiative (NHLI) PreK-12 Gen AI Framework; State AI Task Force	26,,,,,,,,,,,
New Jersey,NJ,Not in sourceYes,"A4978 (SOPPA-NJ), S332 (NJDPA)","FERPA, COPPA.",New Jersey Department of Education (NJDOE),Office of Innovation - AI & EdTech,https://www.nj.gov/education/innovation/ai/,"Active AI governance ($1.5M FY2025 funding, TeachAI initiative, NJSDPC/A4L member, NJETA consortium)",SOPPA-NJ: prohibits ed-tech data sales/targeted ads; written contracts required; NJDPA: data protection assessments mandatory,https://www.cyber.nj.gov/guidance-and-best-practices/identity-theft-privacy/data-privacy/nj-data-privacy-prevention-act,Yes,"Comprehensive AI initiative: grant programs for AI innovation; ""Teaching with AI"" & ""Teaching about AI"" curriculum integration; TeachAI participation; Office of Innovation oversees","A4978, S332, privacy.a4l.org, nj.gov/education/innovation/ai"
New Mexico,NM,Not in sourceNo,"FERPA only (HM 54, HM 20 for AI study)","FERPA, COPPA.",New Mexico Public Education Department (NMPED),"Exploring: AI Work Group (HM 2), NM Digital Equity in Education Act guidance (May 2025)",Not in source,Not in source,"Utilizes M.A.Z.E. framework (Monitor, Assess, Zero-in, Evaluate); requires disclosure of AI assistance in coursework.",Not in source,Not in source,5-level AI Assessment Scale for integrity; establishes core protections based on White House AI Bill of Rights.,26
New York,NY,Yes,New York Education Law Section 2-d; 8 NYCRR 121.8; SB 6356; AB A6787D; State Tech Law § 106-B.,"FERPA, PPRA, COPPA.",New York State Education Department (NYSED),privacy@nysed.gov,Not in source,State Chief Privacy Officer; District Data Privacy Officer (8 NYCRR 121.8).,Mandatory Data Privacy and Security Plans for vendors; Parents’ Bill of Rights; ban on biometric ID tech; data minimization restricted to strictly necessary elements.,http://www.nysed.gov/data-privacy-appendix,Yes,NYSED AI Guidance Framework (2024) focuses on human-in-the-loop and bias audits; NYC Local Law 144 (automated employment decisions); requires state agency AI inventory.,"2, 9, 28, 35, 36"
North Carolina	NC,,,,,,,,,,,,,
North Dakota	ND,,,,,,,,,,,,,
Ohio,OH,Not in source,"O.R.C. § 3319.321; Senate Bill 29 (O.R.C. §§ 3319.325, 3319.326, 3319.327).","FERPA, COPPA, CIPA.",Ohio Department of Education and Workforce (DEW),Not in source,Not in source,Not in source,Annual notice for device monitoring; 72-hour notice for specific access; mandatory destruction of records within 90 days of contract end.,Not in source,Not in source,SB 29 limits electronic monitoring; all public schools must adopt board-approved AI policies by mid-2026; state model policy due end of 2025.,"14, 28, 32, 44, 46, 49"
Oklahoma	OK,,,,,,,,,,,,,
Oregon,OR,Yes,Oregon Student Information Protection Act (OSIPA) (ORS 336.184); ORS 339.356.,"FERPA, PPRA, COPPA, CIPA.",Oregon Department of Education (ODE),ode.digitallearning@ode.oregon.gov,Not in source,District Information Security Officer (ORS 336.184); Records Officer (ORS 192.311).,Prohibits targeted advertising; vendor data disposal within 60 days of termination; annual retirement audit for EdTech products.,https://www.oregon.gov/ode/reports-and-data/Pages/Student-Data-Privacy.aspx,Yes,"Released ""Developing Policy and Protocols for GenAI in K-12""; focuses on instructional integration, ethical risks, and mitigating bias.","9, 37, 45"
Pennsylvania,PA,Not in source,Not in source,Not in source,Not in source,JEAB@pacourts.us,717-705-1785,Not in source,Interim Policy on Use of GenAI requires human review of outputs; personnel responsible for accuracy.,Not in source,Not in source,Interim Policy for Judicial Officers/Personnel allows specific GenAI use; Bar Associations issued ethical AI use opinion.,58
Rhode Island	RI,,,,,,,,,,,,,
South Carolina,SC,Yes,Not in source,"FERPA, COPPA.",South Carolina Department of Education,Not in source,Not in source,Chief Privacy Officer; CISO.,Required district data governance plans; privacy impact assessments; data classification frameworks.,Not in source,Yes,H 4754 (Real Estate AI responsibility); CPO advancing AI initiatives through IAPP insights.,"2, 35"
South Dakota	SD,,,,,,,,,,,,,
Tennessee,TN,Not in source,Public Chapter 550 (2024); Tenn. Code Ann. §§ 47-18-3201 et seq.,Not in source,Tennessee Department of Education,Not in source,Not in source,Directors of Schools (mandated annual reporting).,All districts must adopt AI policies; annual reporting from Directors to Board by June; opt-out for automated decision-making.,Not in source,Not in source,ELVIS Act protects against voice cloning; TSBA Model Policy 4.214; strict prohibition on entering PII or IP into AI systems.,"14, 26, 31, 44"
Texas,TX,Not in source,HB 2087 (Ed. Code § 32.151); SB 820 (Ed. Code § 11.175); Texas Data Privacy and Security Act (Bus & Com Code § 541.051).,Not in source,Texas Education Agency (TEA),Not in source,Not in source,Superintendent designates Cybersecurity Coordinator (SB 820).,Cybersecurity framework mandatory; breach reporting to agency; data minimization standards; informed consent for mental health software.,Not in source,Not in source,TRAIGA (HB 149); prohibits AI social scoring by gov; state agencies must inventory AI; age verification for AI sexual material tools.,"28, 33, 34"
Utah,UT,Yes,"Student Data Protection Act (SDPA) U.C.A. §§ 53E-9-301 et seq.; Utah FERPA U.C.A. § 53E-9-2; Board Rule R277-487; Public Records Management Act U.C.A. § 63A-12-105; GRAMA Title 63G, Ch. 2; SB 142 (App Store Accountability); HB 18 (2023).","FERPA (20 U.S.C. § 1232g), PPRA (20 U.S.C. § 1232h), COPPA (16 CFR Part 312), IDEA, NSLA (42 U.S.C. 1758).",Utah State Board of Education (USBE),katy.challis@schools.utah.gov; privacy@schools.utah.gov; cassie.hays@schools.utah.gov,(801) 538-7500; (801) 538-7845,Director of Privacy (53E-9-302(4)); CISO (Policy 05.02); Records Officer (63G-2-103(24)); LEA Student Data Manager (53E-9-303); Privacy Advisory Group.,Adopt Data Governance Plan; maintain Metadata Dictionary; annual info security awareness course; breach reporting within 10 days; annual Privacy Practices Benchmark; 45-day record access response.,https://www.schools.utah.gov/studentdataprivacy,Yes,Utah AI and Policy Act (SB 149) established Office of AI Policy; USBE P-12 AI Framework (2024) prohibits PII in consumer AI and AI use for IEP goals or subjective grading.,1-34
Virginia,VA,Not in source,HB 1 (VA CODE §§ 22.1-287); SB 951; HB 2350 (22.1-20.2); Consumer Data Protection Act (§§ 59.1-575 et seq.).,FERPA.,Virginia Department of Education (VDOE),Not in source,Not in source,Chief Data Security Officer (HB 2350).,Incident reporting within 24 hours; mandatory model data security plan; restrictions on facial recognition; parent right to download record copies.,Not in source,Not in source,HB 2031 prohibits police facial recognition until 2026; focus on transparency and prevention of algorithmic discrimination.,"28, 31, 43"
Vermont	VT,,,,,,,,,,,,,
Washington,WA,Not in source,Not in source,"FERPA, COPPA, CIPA.",Washington Office of Superintendent of Public Instruction (OSPI),Not in source,360-725-6162,Not in source,Regular review of LEA policies; vetting of AI tools for DPA verification and encryption; use of an AI Matrix (5-step scaffolding scale).,https://ospi.k12.wa.us/ai,Not in source,"Released ""Human-Centered AI Guidance for K–12 Public Schools"" (2024); promotes ""Human-AI-Human"" (H-AI-H) approach; created statewide AI task force.","14, 46, 48"
West Virginia,WV,Not in source,WV CODE § 18-2-5h; HB 4261; HB 4316.,FERPA.,Dept. of Education,Not in source,Not in source,Data Governance Manager (HB 4316).,"Student Data Accessibility, Transparency, and Accountability Act; prohibits sale of student data; parental opt-out for sharing.",Not in source,Not in source,Not in source,28
Wisconsin,WI,Not in source,Wisconsin Statutes § 111.70; § 118.225.,"FERPA, COPPA.",Wisconsin Department of Public Instruction (DPI),Not in source,(608) 267-1071,Not in source,Vetting checklist for tools; yearly staff refresh on privacy; redaction of identifiers before AI uploads; restricted bargaining (2011 Budget Repair Bill).,Not in source,Not in source,WI DPI AI Guidance V1.2; Humanistic approach (Human > AI > Human); integrates education and library settings; SEL integration focus.,"26, 52, 53"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,No	Student Data Accessibility Act (Idaho Code § 33-133 / SB 1372)	FERPA,,,,,,,,
,,,,,,,,,,,,,
,,,,,COMPREHENSIVE DATA READY FOR SPREADSHEET POPULATION,,,,,,,,
,,,,,Session 3 - Complete Reference Guide,,,,,,,,
,,,,,,,,,,,,,
,,,,,INSTRUCTIONS FOR POPULATING SPREADSHEET:,,,,,,,,
,,,,,This document contains ALL collected data for states 12-51. Copy data from corresponding sections below into spreadsheet columns.,,,,,,,,
,,,,,Format: State Name | SDPC Member (C) | Primary Laws (D) | Federal Laws (E) | AI Governance (I),,,,,,,,
,,,,,─────────────────────────────────────────────────────,,,,,,,,
,,,,,ILLINOIS (Row 15),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: SOPIPA (105 ILCS 85/1), ISSRA (105 ILCS 10/1)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (State guidance on AI in education),,,,,,,,
,,,,,INDIANA (Row 16),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: FERPA only (general consumer data protection via Ind. Code § 24-15-1),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: No AI governance found,,,,,,,,
,,,,,IOWA (Row 17),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Personal Information Protection Act (Iowa Code § 279.71 / HF 2354),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: No AI governance found,,,,,,,,
,,,,,KANSAS (Row 18),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Data Privacy Act (K.S.A. § 72-6312 / SB 367), Student Online Personal Protection Act (K.S.A. § 72-6331 / HB 2008)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: No AI governance found,,,,,,,,
,,,,,KENTUCKY (Row 19),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Cloud Computing / Student Privacy (K.R.S. § 365.734 / HB 232),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (KDE guidance highlighting AI-directed, AI-supported, and AI-empowered learning paradigms)",,,,,,,,
,,,,,LOUISIANA (Row 20),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Information Privacy Act,,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (LDOE framework with four-tier integration: Empowered, Enhanced, Assisted, Prohibited)",,,,,,,,
,,,,,MAINE (Row 21) - ALREADY COMPLETE,,,,,,,,
,,,,,SDPC: Yes (Alliance of Maine LEAs / Maine Student Data Privacy Alliance),,,,,,,,
,,,,,"Primary Laws: Student Information Privacy Act (Me. Rev. Stat. tit. 20-A, § 951-953)",,,,,,,,
,,,,,"Federal Laws: FERPA, COPPA",,,,,,,,
,,,,,"AI Governance: Guidance Released (DOE ""Keep the Human in AI"" toolkit, explicitly advises against AI detection tools)",,,,,,,,
,,,,,MARYLAND (Row 22),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Data Privacy Act (K.S.A. § 72-6312 / SB 367), Student Online Personal Protection Act (K.S.A. § 72-6331 / HB 2008)",,,,,,,,
,,,,,"Federal Laws: FERPA, PPRA, COPPA",,,,,,,,
,,,,,"AI Governance: Mandatory (HB 1297/SB 0979 mandates MSDE develop guidelines, requires county boards to implement policies and conduct annual AI inventories)",,,,,,,,
,,,,,MASSACHUSETTS (Row 23),,,,,,,,
,,,,,"SDPC: Participating districts (Steve Smith, CIO Cambridge Public Schools noted as leader)",,,,,,,,
,,,,,Primary Laws: H 614 (AI Policies),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (DESE guidance addressing ""digital design divide"", explicitly advising against AI detection tools)",,,,,,,,
,,,,,MICHIGAN (Row 24),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Student Online Personal Protection Act,,,,,,,,
,,,,,"Federal Laws: FERPA, COPPA",,,,,,,,
,,,,,AI Governance: Guidance Released (Michigan Virtual guidance endorsed by Michigan Department of Education as official state guidance),,,,,,,,
,,,,,MISSISSIPPI (Row 25) - ALREADY COMPLETE,,,,,,,,
,,,,,SDPC: Yes (Mississippi Department of Education - uses NDPA),,,,,,,,
,,,,,Primary Laws: AI Regulation Task Force Act,,,,,,,,
,,,,,"Federal Laws: FERPA, COPPA",,,,,,,,
,,,,,AI Governance: Guidance Released (MDE guidance organized around five components of digital learning),,,,,,,,
,,,,,MINNESOTA (Row 26),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Educational Data; Technology Providers (Minn. Stat. § 13.32 / HF 2353),,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released (MDE guidance emphasizing equity and centering people in decision-making),,,,,,,,
,,,,,MISSOURI (Row 27),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Data Accessibility, Transparency, and Accountability Act (Mo. Rev. Stat. § 161.096 / HB 1490)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,"AI Governance: Guidance Released (DESE ""AI Guidance for Local Education Agencies"" Version 1.0 for 2025-26 school year)",,,,,,,,
,,,,,MONTANA (Row 28),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,Primary Laws: Montana Pupil Online Personal Information Protection Act (Mont. Code Ann. § 20-7-1325 / HB 745),,,,,,,,
,,,,,"Federal Laws: FERPA, COPPA",,,,,,,,
,,,,,AI Governance: Guidance Released (OPI and Montana Digital Academy guidance designed as a resource for biennial review),,,,,,,,
,,,,,NEBRASKA (Row 29),,,,,,,,
,,,,,SDPC: No,,,,,,,,
,,,,,"Primary Laws: Student Online Personal Protection Act (Neb. Rev. Stat. § 79-2,153 / LB 512)",,,,,,,,
,,,,,Federal Laws: FERPA,,,,,,,,
,,,,,AI Governance: Guidance Released,,,,,,,,
,,,,,NEVADA (Row 30) - ALREADY COMPLETE,,,,,,,,
,,,,,SDPC: No,,,,,,,,
